feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,122.50057,89.85733,0.0
0.0,60.076694,0.0,51.389908
29.881521,138.86723,0.0,108.88282
24.140568,62.5925,0.0,134.49454
35.75562,47.8321,0.0,160.82915
112.561264,0.0,0.0,56.413948
0.0,104.57276,33.96077,0.0
0.0,25.804419,0.0,0.0
93.40193,81.38654,0.0,100.41752
71.18692,25.735373,0.0,100.359535
81.68124,0.0,0.0,117.977394
42.011967,0.0,0.0,105.87065
0.0,144.49889,80.51902,0.0
0.0,97.03809,50.696556,0.0
126.00268,0.0,0.0,147.28941
62.804977,25.377523,0.0,80.61499
66.38602,13.741978,0.0,96.87667
67.99541,0.0,0.0,130.59119
0.0,0.0,0.0,35.02309
0.0,134.76688,63.50905,0.0
0.0,80.635574,57.377846,0.0
0.0,65.8397,64.99664,0.0
93.98275,0.0,0.0,208.57248
79.731544,58.251114,0.0,67.50411
83.8078,0.0,0.0,97.483215
60.43274,0.0,0.0,117.59006
89.717445,0.0,0.0,102.888275
0.0,190.9405,197.20682,0.0
0.0,102.64163,51.783627,0.0
0.0,30.68431,48.062622,0.0
152.88704,42.77185,0.0,133.59094
82.25721,15.859334,0.0,83.347206
73.524826,0.0,0.0,100.80905
73.84664,0.0,0.0,140.79106
66.61124,0.0,0.0,79.68094
0.0,164.10632,94.3072,0.0
0.0,103.73476,60.13648,0.0
0.0,64.645035,29.707094,0.0
124.29381,45.038795,0.0,107.3822
67.117165,39.68655,0.0,92.64443
78.3971,0.0,0.0,126.23283
76.83022,0.0,0.0,104.704605
0.0,154.9784,121.21631,0.0
0.0,100.64169,57.316547,0.0
0.0,66.8715,26.666811,0.0
109.028435,82.91459,0.0,91.27061
57.07047,1.9483441,0.0,75.53382
76.83505,0.0,0.0,94.36001
37.56609,0.0,0.0,139.11699
0.0,219.74959,247.20805,0.0
0.0,112.114975,51.008785,0.0
0.0,71.86398,49.640152,0.0
120.7351,0.0,0.0,211.03813
84.36341,48.4878,0.0,70.88378
57.698185,0.0,0.0,112.50734
0.0,166.98363,91.689644,0.0
0.0,120.784775,70.10718,0.0
0.0,87.42952,63.821423,0.0
124.941635,0.0,0.0,130.56612
80.611626,51.021812,0.0,87.778725
78.37918,0.0,0.0,123.33716
57.907272,0.0,0.0,144.5516
0.0,0.0,0.0,0.0
0.0,126.61977,70.41225,0.0
0.0,85.64335,81.09889,0.0
80.10604,48.27845,0.0,92.26596
73.52936,54.4318,0.0,59.363155
73.34035,42.57384,0.0,87.203804
57.186977,0.0,0.0,118.03731
0.0,0.0,0.0,47.733692
0.0,126.37312,86.91021,0.0
0.0,80.36924,61.250107,0.0
94.69033,0.0,0.0,114.223885
77.5226,51.091003,0.0,67.27496
79.16679,0.0,0.0,97.67462
56.5013,0.0,0.0,147.65704
0.0,139.29707,175.67287,0.0
0.0,96.3589,65.64147,0.0
0.0,72.45926,44.723362,0.0
146.49677,0.0,0.0,189.68924
94.53636,17.673561,0.0,76.62527
75.36774,0.0,0.0,80.9702
75.13901,0.0,0.0,142.21342
0.0,197.49825,223.14873,0.0
0.0,102.701584,72.691925,0.0
0.0,61.902756,37.594254,0.0
146.4231,0.0,0.0,147.18228
98.70408,0.0,0.0,105.36819
87.0864,0.0,0.0,126.059555
0.0,0.0,0.0,94.70829
0.0,165.76738,76.17062,0.0
0.0,71.85289,63.0574,0.0
91.83959,0.0,0.0,225.54219
66.25963,57.001698,0.0,76.096954
93.191025,0.0,0.0,132.64853
36.600483,0.0,0.0,124.67615
0.0,157.73976,89.4091,0.0
0.0,77.53213,60.068542,0.0
82.97052,58.20235,14.025659,0.0
87.2805,76.399574,0.0,69.28106
69.46917,16.33579,0.0,75.844475
80.820724,0.0,0.0,122.7793
81.78262,0.0,0.0,93.88634
0.0,158.29263,89.40196,0.0
0.0,105.49159,49.391186,0.0
0.0,48.142574,33.41354,0.0
84.46401,34.12389,0.0,68.26235
80.42093,0.0,0.0,97.43709
71.07967,0.0,0.0,133.99612
0.0,222.43826,0.0,0.0
0.0,89.040306,58.334316,0.0
0.0,76.11478,43.449287,0.0
157.84705,0.0,0.0,155.65686
97.397125,66.18169,0.0,76.99812
65.67043,32.035767,0.0,98.96276
66.33703,0.0,0.0,136.8615
85.27057,0.0,0.0,118.41693
0.0,167.80524,63.912476,0.0
0.0,106.42384,58.61581,0.0
109.42336,29.654438,0.0,124.355606
78.716705,44.38233,0.0,60.61117
50.75864,42.868767,0.0,101.32279
65.41106,0.0,0.0,119.3284
73.967995,0.0,0.0,77.02101
0.0,148.0164,75.806816,0.0
0.0,92.838264,57.064426,0.0
98.23691,0.0,0.0,181.14299
65.02447,65.42771,0.0,73.746414
71.09363,0.0,0.0,119.28593
94.47034,0.0,0.0,140.33418
0.0,0.0,0.0,0.0
0.0,129.33601,58.327652,0.0
0.0,97.20828,64.65388,0.0
127.50732,0.0,0.0,156.88972
92.05814,21.499113,0.0,80.67494
77.93995,26.209715,0.0,106.13941
76.24492,0.0,0.0,111.44231
119.064476,0.0,0.0,77.1061
0.0,142.94733,107.05539,0.0
0.0,81.30519,49.12556,0.0
115.9363,0.0,42.933758,0.0
119.951225,0.0,0.0,123.25149
69.07171,21.048035,0.0,77.08482
65.41439,0.0,0.0,110.07817
0.0,240.1756,0.0,0.0
0.0,142.06953,84.33265,0.0
0.0,84.05559,47.674103,0.0
120.708206,0.0,0.0,110.86279
88.08926,0.0,0.0,89.67006
85.4688,0.0,0.0,130.88753
0.0,0.0,0.0,0.0
0.0,102.19358,60.6115,0.0
0.0,78.884254,35.400463,0.0
99.15875,61.16775,0.0,89.438
66.532364,0.0,0.0,81.714035
79.90964,0.0,0.0,122.18139
39.52396,0.0,0.0,119.973526
0.0,152.16266,75.6283,0.0
0.0,92.78121,43.904167,0.0
138.7179,65.14374,0.0,91.124504
81.49584,54.92528,0.0,76.5469
79.23684,0.0,0.0,111.54295
68.53372,0.0,0.0,117.121376
37.673267,0.0,0.0,98.20255
0.0,142.01128,86.24868,0.0
0.0,85.67652,54.32038,0.0
149.05507,3.3762808,0.0,147.44962
60.690426,24.509485,0.0,68.01893
82.08713,0.0,0.0,107.70933
38.78476,0.0,0.0,150.42702
0.0,167.5956,78.50738,0.0
0.0,77.73266,47.53311,0.0
0.0,41.065567,22.597578,0.0
87.08788,64.41127,0.0,94.17985
73.82167,35.631226,0.0,107.278336
70.8339,0.0,0.0,124.469246
83.33556,0.0,0.0,78.96003
0.0,144.18243,51.30222,0.0
0.0,72.59865,43.197163,0.0
0.0,39.34151,28.459532,0.0
154.91331,41.99822,0.0,111.271286
62.66912,32.4657,0.0,67.81644
68.68945,0.0,0.0,105.408905
83.728806,0.0,0.0,121.91374
121.8415,0.0,0.0,43.213184
0.0,155.70338,94.32862,0.0
0.0,105.7423,62.0711,0.0
0.0,30.711863,34.002964,0.0
143.31906,0.0,0.0,117.590454
92.79291,0.0,0.0,85.80772
69.54535,0.0,0.0,71.919495
83.0174,0.0,0.0,141.4903
0.0,0.0,0.0,70.4688
0.0,147.05371,66.62367,0.0
0.0,86.89239,51.099182,0.0
85.41196,0.0,0.0,211.88571
68.320206,40.48596,0.0,64.98211
85.49465,0.0,0.0,114.937386
53.58348,0.0,0.0,117.20054
0.0,207.96593,0.0,0.0
0.0,88.43907,66.4694,0.0
0.0,66.84696,47.530544,0.0
115.464874,0.0,0.0,160.59206
84.64778,39.610653,0.0,82.80392
44.78969,108.99215,0.0,0.0
53.09211,65.88271,0.0,61.714466
0.0,129.56305,66.64139,0.0
0.0,64.84888,16.346922,0.0
85.15852,71.49337,0.0,90.5299
73.22649,49.274754,0.0,105.34711
60.694473,0.0,0.0,130.96632
81.97705,0.0,0.0,40.139683
0.0,173.24898,79.58242,0.0
0.0,78.93468,40.660427,0.0
146.808,66.599915,0.0,106.72224
66.60597,28.885784,0.0,76.32678
80.69402,0.0,0.0,106.41481
64.41849,0.0,0.0,130.58759
0.0,155.42477,136.58084,0.0
0.0,136.86453,75.67795,0.0
0.0,57.180832,54.990273,0.0
146.24365,15.92325,0.0,154.1301
67.01855,55.517353,0.0,78.091034
72.39529,0.0,0.0,110.81038
72.78067,0.0,0.0,131.10037
0.0,0.0,0.0,0.0
0.0,159.3535,72.95476,0.0
0.0,79.92836,53.84937,0.0
103.387764,101.7028,0.0,188.9051
82.99657,61.83632,0.0,84.86801
90.93619,0.0,0.0,131.20793
60.95618,0.0,0.0,123.63807
0.0,168.4847,111.87259,0.0
